#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-09-21T20:40:25 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ614a2d31220564	
#INFO	-out.max=unlimited	
#INFO	queryParameters=25	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-out.add=_RA*-c.eq,_DE*-c.eq
#-sort=_r
#-order=I
#-nav=cat:V/53A&tab:{V/53A/names}&key:source=V/53A&HTTPPRM:&&-ref=VIZ614a2d31220564&-out.max=unlimited&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-out.add=_RA*-c.eq,_DE*-c.eq&-sort=_r&-oc.form=dec&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=HR&-out=n_HR&-out=Bayer&-out=Const&-out=RA2000&-out=DE2000&-out=ELON&-out=ELAT&-out=Dist&-out=Vmag&-out=SpType&-ignore=Simbad=*&Simbad=Simbad&-file=.&-meta.ucd=0&-meta=0&-usenav=1&-bmark=POST&-out.src=V/53A/catalog&
#-source= V/53A/names
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-out=HR
#-out=n_HR
#-out=Bayer
#-out=Const
#-out=RA2000
#-out=DE2000
#-out=ELON
#-out=ELAT
#-out=Dist
#-out=Vmag
#-out=SpType
#-out.src=V/53A/catalog
#

#RESOURCE=yCat_5053
#Name: V/53A
#Title: Catalogue of the Brightest Stars (Ochsenbein+ 1988)
#Table	V_53A_names:
#Name: V/53A/names
#Title: Star names / Noms des etoiles
#Column	HR	(I4)	Bright Star number	[ucd=]
#Column	Name	(a12)	Common name of the star / Nom usuel	[ucd=]
HR	Name
 	
----	------------
 897	Acamar
 472	Achernar
4730	Acrux
2618	Adara
5267	Agena
5191	Alcaid
5062	Alcor
1165	Alcyone
1457	Aldebaran
8162	Alderamin
  39	Algenib
 936	Algol
2421	Alhena
4905	Alioth
 603	Almach
8425	Alnair
1903	Alnilam
3748	Alphard
5793	Alphecca
  15	Alpheratz
7602	Alshain
7557	Altair
6134	Antares
5340	Arcturus
1865	Arneb
1178	Atlas
1790	Bellatrix
2061	Betelgeuse
2326	Canopus
1708	Capella
  21	Caph
2890	Castor
7924	Deneb
4534	Denebola
4301	Dubhe
1142	Electra
1791	Elnath
8308	Enif
6705	Etamin
8728	Fomalhaut
 617	Hamal
5506	Izar
5563	Kochab
1149	Maia
8781	Markab
4660	Megrez
 911	Menkar
4295	Merak
1156	Merope
1852	Mintaka
 681	Mira
 337	Mirach
1017	Mirfak
5054	Mizar
3165	Naos
1829	Nihal
 424	North star
7121	Nunki
4554	Phecda
 424	Polaris
2990	Pollux
2943	Procyon
6406	Rasalgethi
6556	Rasalhague
3982	Regulus
1713	Rigel
8414	Sadalmelik
2004	Saiph
8775	Scheat
 168	Schedar
6527	Shaula
2491	Sirius
5056	Spica
7525	Tarazed
1145	Taygete
5291	Thuban
5854	Unukalhai
7001	Vega
4932	Vindemiatrix
1231	Zaurak

